IDENTIFICACAO_CONTRATO;TITULO_PROJETO;CHAMADA_PUBLICA;ANO_CHAMADA_PUBLICA;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_DISTRIBUIDORA_PROGRAMADORA;RAZAO_SOCIAL_DISTRIBUIDORA_PROGRAMADORA;DT_PUBLICACAO_CONTRATO_DOU;VL_CONTRATO_DOU;DT_PRIMEIRO_DESEMBOLSO;VL_TOTAL_LIBERADO
DG-00.919;TRAGO COMIGO;ARRANJOS REGIONAIS;2014;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;07.860.494/0001-23;TANGERINA ENTRETENIMENTO LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;03/10/2016; 105000,00;17/10/2016; 105000,00
DG-00.901;UTOPIA BRASIL;PRODAV 06;2014;14.263.150/0001-00;FABRICA DE IDEIAS CINEMATICAS LTDA;14.263.150/0001-00;FABRICA DE IDEIAS CINEMATICAS LTDA;;;03/10/2016; 699490,00;03/11/2016; 699490,00
DG-00.895;A FAMÍLIA DIONTI;PRODECINE 03;2013;07.815.205/0001-74;CARAMINHOLA PRODUÇÕES ARTISTICAS LTDA;07.815.205/0001-74;CARAMINHOLA PRODUÇÕES ARTISTICAS LTDA;05.249.852/0001-30;LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA;18/10/2016; 200000,00;25/11/2016; 200000,00
DG-00.908;ANJOS DE IPANEMA;PRODAV 06;2014;01.456.361/0001-00;MP 2 PRODUCOES EIRELI;01.456.361/0001-00;MP 2 PRODUCOES EIRELI;;;18/10/2016; 216680,00;16/11/2016; 216680,00
DG-00.938;CINE BARATO;PRODAV 02 - PROJETO DERIVADO;2013;16.487.027/0001-90;TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA;16.487.027/0001-90;TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;18/10/2016; 289080,00;01/11/2016; 289080,00
DG-00.937;CINEMA DIVERSIDADE;PRODAV 02 - PROJETO DERIVADO;2013;09.005.783/0001-70;CIGANO FILMES LTDA - ME;09.005.783/0001-70;CIGANO FILMES LTDA - ME;07.254.174/0001-20;PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A;18/10/2016; 225000,00;04/11/2016; 225000,00
DG-00.923;ESTIVE EM LISBOA E LEMBREI DE VOCÊ;PRODECINE 03;2013;05.436.489/0001-62;REFINARIA PRODUÇÕES LTDA.;05.436.489/0001-62;REFINARIA PRODUÇÕES LTDA.;10.681.698/0001-01;TUCUMÁN DISTRIBUIDORA DE FILMES LTDA;18/10/2016; 200000,00;01/11/2016; 200000,00
DG-00.946;ESTÚDIO GIZ;PRODAV 03;2015;19.457.687/0001-17;ESTÚDIO GIZ PRODUÇÕES LTDA. - ME;19.457.687/0001-17;ESTÚDIO GIZ PRODUÇÕES LTDA. - ME;;;18/10/2016; 1000000,00;03/11/2016; 1000000,00
DG-00.947;GLAZ;PRODAV 03;2015;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;;;18/10/2016; 1000000,00;01/11/2016; 1000000,00
DG-00.928;NINGUÉM ESTÁ OLHANDO;PRODECINE 06;2015;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;11.620.976/0001-83;VITRINE FILMES EIRELI - ME;18/10/2016; 250000,00;27/10/2016; 250000,00
DG-00.926;NÚCLEO CRIATIVO CABONG;PRODAV 03;2015;10.855.589/0001-63;CABONG STUDIOS LTDA;10.855.589/0001-63;CABONG STUDIOS LTDA;;;18/10/2016; 1000000,00;03/11/2016; 1000000,00
DG-00.910;SERVIDÃO ;SAV/MINC 04;2014;55.084.750/0001-80;GAYA PRODUCOES CINEMATOGRAFICAS LTDA - ME;55.084.750/0001-80;GAYA PRODUCOES CINEMATOGRAFICAS LTDA - ME;;;18/10/2016; 1000000,00;01/11/2016; 1000000,00
DG-00.900;VEREDAS DO BRASIL - ESTRADA REAL E SEUS OFÍCIOS ;PRODAV 06;2014;10.407.637/0001-50;VACA AMARELA FILMES EIRELI;10.407.637/0001-50;VACA AMARELA FILMES EIRELI;;;18/10/2016; 700000,00;04/11/2016; 700000,00
DG-00.918;BRAZIL MADE IN PARANÁ;ARRANJOS REGIONAIS;2014;04.937.797/0001-09;GP7 CINEMA LTDA;04.937.797/0001-09;GP7 CINEMA LTDA;;;27/10/2016; 30000,00;28/11/2016; 30000,00
DG-00.965;CARVANA;SAV/MINC 04;2014;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;40.426.918/0001-11;MAC COMUNICAÇÃO E PRODUÇÃO LTDA;;;27/10/2016; 652864,15;07/12/2016; 652864,15
DG-00.959;EMPATE;SAV/MINC 04;2014;19.709.434/0001-93;A. S. C. E SOUZA - PRODUTORA;19.709.434/0001-93;A. S. C. E SOUZA - PRODUTORA;;;27/10/2016; 672980,00;01/12/2016; 672980,00
DG-00.876;FRONTEIRAS;ARRANJOS REGIONAIS;2014;14.622.284/0001-62;JARINA FILMES LTDA;14.622.284/0001-62;JARINA FILMES LTDA;;;27/10/2016; 30000,00;12/12/2016; 30000,00
DG-00.897;LENINGRADO, LINHA 41;ARRANJOS REGIONAIS;2014;17.220.694/0001-75;CASU FILMES PRODUÇÕES AUDIOVISUAIS E ENTRETENIMENTO LTDA.-ME;17.220.694/0001-75;CASU FILMES PRODUÇÕES AUDIOVISUAIS E ENTRETENIMENTO LTDA.-ME;;;27/10/2016; 33334,00;28/11/2016; 33334,00
