SALIC;TITULO_PROJETO;MUNICIPIO_PROPONENTE;UF_PROPONENTE;SITUACAO_REGISTRO;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;LEI_8313;ART1;ART1A;ART3;ART3A;ART39;FUNCINES;TOTAL_CAPTADO;DT_APROVACAO_CAPTACAO;DT_1_LIBERACAO
07-0300;Getúlio (Ex - Getúlio - Últimos Dias);RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;0,0;850000,0;1505068,0;0,0;700000,0;421429,55;0,0;3476497,55;15/10/2007;25/10/2012
06-0022;FAROESTE CABOCLO - DESENVOLVIMENTO;RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;0,0;100000,0;0,0;0,0;0,0;100000,0;04/07/2006;04/12/2006
05-0247;PRO DIA NASCER FELIZ - DISTRIBUIÇÃO;RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;90000,0;30000,0;0,0;0,0;0,0;0,0;0,0;120000,0;12/12/2005;15/12/2006
01-3668;Irma Vap - O Retorno (ex-O Mistério de Irma Vap);RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;2120410,38;2110000,0;0,0;1000000,0;0,0;0,0;850000,0;6080410,38;25/02/2002;05/05/2004
01-4523;Janela da Alma - Distribuição;RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;180000,0;0,0;0,0;53902,17;0,0;0,0;0,0;233902,17;21/01/2002;07/05/2002
00-0310;Espelho D'água - Uma Viagem no Rio São Francisco;RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;1820000,0;0,0;0,0;100000,0;0,0;0,0;0,0;1920000,0;19/10/2000;27/06/2001
16-0856;Liberdade de Gênero - Segunda Temporada;RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;1250000,0;0,0;0,0;0,0;0,0;1250000,0;28/12/2016;19/05/2017
99-3984;Copacabana;RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;2127651,64;0,0;0,0;115492,29;0,0;0,0;0,0;2243143,93;19/10/1999;15/12/1999
18-0388;ATRAVESSA A VIDA (EX PRO DIA NASCER FELIZ 2);RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;0,0;0,0;290000,0;0,0;0,0;290000,0;18/07/2018;18/06/2019
18-0351; 8 PRESIDENTES 1 JURAMENTO - A HISTÓRIA DE UM TEMPO PRESENTE (EX A HISTÓRIA DE UM TEMPO PRESENTE);RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;0,0;0,0;537779,98;0,0;0,0;537779,98;13/06/2018;23/05/2019
21-0220;Amores Livres - segunda temporada ;RIO DE JANEIRO;RJ;DEFERIDO;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16/12/2021;17/10/2022
21-0064;Surdes;SÃO PAULO;SP;DEFERIDO;28.037.068/0001-64;NALATA FILMES LTDA - ME;0,0;0,0;0,0;0,0;437681,24;0,0;0,0;437681,24;01/07/2021;24/03/2022
02-4019;Sol Caminhando Contra o Vento (O);RIO DE JANEIRO;RJ;DEFERIDO;28.247.971/0001-50;VEMVER BRASIL - PRODUÇÕES AUDIOVISUAIS LTDA;380000,0;200000,0;0,0;0,0;0,0;0,0;0,0;580000,0;27/09/2002;19/10/2004
97-3372;O Sonho de Rose - O Filme;RIO DE JANEIRO;RJ;DEFERIDO;28.247.971/0001-50;VEMVER BRASIL - PRODUÇÕES AUDIOVISUAIS LTDA;350000,0;0,0;0,0;0,0;0,0;0,0;0,0;350000,0;29/05/1998;18/10/1999
